Epoch:144/1000, hm:1.22067, ciou:0.31690, lm:20.42547, total:4.84772
Epoch:145/1000, hm:1.22491, ciou:0.31539, lm:20.32100, total:4.83399
Epoch:146/1000, hm:1.24072, ciou:0.31790, lm:20.24404, total:4.85460
Epoch:147/1000, hm:1.21558, ciou:0.31646, lm:20.31874, total:4.82978
Epoch:148/1000, hm:1.22168, ciou:0.31341, lm:19.92681, total:4.78140
Epoch:149/1000, hm:1.22778, ciou:0.31916, lm:20.18078, total:4.84168
Epoch:150/1000, hm:1.24537, ciou:0.31518, lm:20.03949, total:4.82524
Epoch:150/1000, Easy:0.88975, Medium:0.87267, Hard:0.70939
Epoch:151/1000, hm:1.40322, ciou:0.35002, lm:22.39340, total:64.74968
Epoch:152/1000, hm:1.27692, ciou:0.32878, lm:19.24127, total:56.13165
Epoch:153/1000, hm:1.21984, ciou:0.32615, lm:19.15259, total:55.61140
Epoch:154/1000, hm:1.23014, ciou:0.32293, lm:19.03288, total:55.34759
Epoch:155/1000, hm:1.19900, ciou:0.32045, lm:18.73227, total:54.42789
Epoch:156/1000, hm:1.20285, ciou:0.31920, lm:18.59137, total:54.08875
Epoch:157/1000, hm:1.20436, ciou:0.31558, lm:18.61168, total:54.12889
Epoch:158/1000, hm:1.18964, ciou:0.31446, lm:18.56028, total:53.92120
Epoch:159/1000, hm:1.17210, ciou:0.32076, lm:18.47002, total:53.63947
Epoch:160/1000, hm:1.18215, ciou:0.31939, lm:18.55237, total:53.88870
Epoch:160/1000, Easy:0.90309, Medium:0.88199, Hard:0.71129
Epoch:161/1000, hm:1.16032, ciou:0.31666, lm:18.49365, total:53.61901
Epoch:162/1000, hm:1.19513, ciou:0.31722, lm:18.43796, total:53.65670
Epoch:163/1000, hm:1.18242, ciou:0.31919, lm:18.67196, total:54.18795
Epoch:164/1000, hm:1.15864, ciou:0.31639, lm:18.30823, total:53.14579
Epoch:165/1000, hm:1.16667, ciou:0.31817, lm:18.03417, total:52.50972
Epoch:166/1000, hm:1.14312, ciou:0.31730, lm:18.40090, total:53.30434
Epoch:167/1000, hm:1.17135, ciou:0.31622, lm:18.26384, total:53.09742
Epoch:168/1000, hm:1.16310, ciou:0.31319, lm:18.12345, total:52.69009
Epoch:169/1000, hm:1.14748, ciou:0.31230, lm:18.11908, total:52.59665
Epoch:170/1000, hm:1.15844, ciou:0.31355, lm:17.99897, total:52.35743
Epoch:170/1000, Easy:0.90202, Medium:0.88069, Hard:0.71242
Epoch:171/1000, hm:1.14795, ciou:0.31410, lm:18.08152, total:52.51404
Epoch:172/1000, hm:1.14490, ciou:0.31214, lm:18.05489, total:52.42242
Epoch:173/1000, hm:1.13859, ciou:0.31579, lm:18.10379, total:52.53141
Epoch:174/1000, hm:1.19318, ciou:0.31680, lm:18.16251, total:52.95620
Epoch:175/1000, hm:1.15279, ciou:0.31819, lm:17.98242, total:52.31099
Epoch:176/1000, hm:1.16273, ciou:0.31560, lm:18.01392, total:52.42644
Epoch:177/1000, hm:1.14903, ciou:0.31303, lm:17.71184, total:51.58987
Epoch:178/1000, hm:1.13808, ciou:0.31708, lm:18.01291, total:52.30811
Epoch:179/1000, hm:1.16668, ciou:0.31526, lm:17.90763, total:52.17879
Epoch:180/1000, hm:1.14955, ciou:0.31738, lm:17.71320, total:51.61764
Epoch:180/1000, Easy:0.90319, Medium:0.88366, Hard:0.71752
Epoch:181/1000, hm:1.13632, ciou:0.31560, lm:17.96813, total:52.17994
Epoch:182/1000, hm:1.10977, ciou:0.31417, lm:17.79983, total:51.61930
Epoch:183/1000, hm:1.14456, ciou:0.31415, lm:17.95962, total:52.19258
Epoch:184/1000, hm:1.13677, ciou:0.31476, lm:17.71853, total:51.55388
Epoch:185/1000, hm:1.18127, ciou:0.31515, lm:17.99479, total:52.46914
Epoch:186/1000, hm:1.13126, ciou:0.31699, lm:17.73108, total:51.56892
Epoch:187/1000, hm:1.15817, ciou:0.31434, lm:17.74072, total:51.71438
Epoch:188/1000, hm:1.14664, ciou:0.31523, lm:17.97286, total:52.24152
Epoch:189/1000, hm:1.13790, ciou:0.31232, lm:17.58302, total:51.20868
Epoch:190/1000, hm:1.14846, ciou:0.31382, lm:17.58478, total:51.27338
Epoch:190/1000, Easy:0.90417, Medium:0.88452, Hard:0.71907
Epoch:191/1000, hm:1.15180, ciou:0.31476, lm:17.66466, total:51.49448
Epoch:192/1000, hm:1.14193, ciou:0.31607, lm:17.41847, total:50.83616
Epoch:193/1000, hm:1.14376, ciou:0.31434, lm:17.74816, total:51.66095
Epoch:194/1000, hm:1.12670, ciou:0.31638, lm:17.66085, total:51.36756
Epoch:195/1000, hm:1.13732, ciou:0.31450, lm:17.42534, total:50.82241
Epoch:196/1000, hm:1.13302, ciou:0.31208, lm:17.47984, total:50.92505
Epoch:197/1000, hm:1.12256, ciou:0.31179, lm:17.46831, total:50.84251
Epoch:198/1000, hm:1.13029, ciou:0.31703, lm:17.61347, total:51.27028
Epoch:199/1000, hm:1.10107, ciou:0.31623, lm:17.32830, total:50.40734
Epoch:200/1000, hm:1.12388, ciou:0.31453, lm:17.53328, total:51.02523
Epoch:200/1000, Easy:0.90529, Medium:0.88676, Hard:0.71774
Epoch:201/1000, hm:1.14329, ciou:0.31533, lm:17.57726, total:4.47767
Epoch:202/1000, hm:1.12778, ciou:0.31459, lm:17.38249, total:4.43897
Epoch:203/1000, hm:1.12466, ciou:0.31088, lm:17.90422, total:4.46950
Epoch:204/1000, hm:1.14365, ciou:0.31118, lm:18.13706, total:4.51326
Epoch:205/1000, hm:1.13151, ciou:0.31242, lm:18.27948, total:4.52156
Epoch:206/1000, hm:1.16581, ciou:0.31382, lm:18.56049, total:4.59096
Epoch:207/1000, hm:1.21588, ciou:0.31407, lm:19.05404, total:4.69162
Epoch:208/1000, hm:1.20212, ciou:0.31395, lm:19.21736, total:4.69363
Epoch:209/1000, hm:1.19902, ciou:0.31453, lm:19.32560, total:4.70426
Epoch:210/1000, hm:1.21569, ciou:0.31215, lm:19.67128, total:4.74354
Epoch:210/1000, Easy:0.90313, Medium:0.88371, Hard:0.69541
Epoch:211/1000, hm:1.18317, ciou:0.31273, lm:19.38857, total:4.68570
Epoch:212/1000, hm:1.19419, ciou:0.31470, lm:19.47879, total:4.71558
Epoch:213/1000, hm:1.21406, ciou:0.31465, lm:19.51014, total:4.73834
Epoch:214/1000, hm:1.21662, ciou:0.31434, lm:19.32417, total:4.72073
Epoch:215/1000, hm:1.20051, ciou:0.31380, lm:19.50042, total:4.71955
Epoch:216/1000, hm:1.17555, ciou:0.31177, lm:19.45986, total:4.68038
Epoch:217/1000, hm:1.18065, ciou:0.31067, lm:19.33270, total:4.66729
Epoch:218/1000, hm:1.18313, ciou:0.31311, lm:19.63601, total:4.71228
Epoch:219/1000, hm:1.18591, ciou:0.31194, lm:19.45681, total:4.69128
Epoch:220/1000, hm:1.17746, ciou:0.31115, lm:19.32335, total:4.66553
Epoch:220/1000, Easy:0.90090, Medium:0.88292, Hard:0.72272
Epoch:221/1000, hm:1.15723, ciou:0.31190, lm:19.41389, total:4.65813
Epoch:222/1000, hm:1.17173, ciou:0.31240, lm:19.40666, total:4.67440
Epoch:223/1000, hm:1.15770, ciou:0.31033, lm:19.36264, total:4.64559
Epoch:224/1000, hm:1.18630, ciou:0.30972, lm:19.40948, total:4.67583
Epoch:225/1000, hm:1.18274, ciou:0.31033, lm:19.31269, total:4.66567
Epoch:226/1000, hm:1.16760, ciou:0.30920, lm:19.31468, total:4.64506
Epoch:227/1000, hm:1.17479, ciou:0.31038, lm:19.25108, total:4.65180
Epoch:228/1000, hm:1.17333, ciou:0.30728, lm:19.45383, total:4.65511
Epoch:229/1000, hm:1.13947, ciou:0.31208, lm:19.35430, total:4.63531
Epoch:230/1000, hm:1.16293, ciou:0.30778, lm:19.25549, total:4.62739
Epoch:230/1000, Easy:0.89760, Medium:0.87863, Hard:0.71540
Epoch:231/1000, hm:1.14683, ciou:0.30640, lm:19.16082, total:4.59491
Epoch:232/1000, hm:1.16691, ciou:0.30826, lm:19.13128, total:4.62132
Epoch:233/1000, hm:1.17693, ciou:0.30989, lm:19.15134, total:4.64150
Epoch:234/1000, hm:1.13875, ciou:0.31039, lm:19.02739, total:4.59342
Epoch:235/1000, hm:1.13259, ciou:0.30893, lm:19.01466, total:4.57868
Epoch:236/1000, hm:1.16563, ciou:0.30936, lm:19.43642, total:4.65606
Epoch:237/1000, hm:1.12225, ciou:0.30493, lm:18.93875, total:4.54075
Epoch:238/1000, hm:1.11882, ciou:0.30765, lm:19.04441, total:4.56150
Epoch:239/1000, hm:1.11321, ciou:0.30775, lm:19.13551, total:4.56552
Epoch:240/1000, hm:1.12364, ciou:0.30674, lm:18.76137, total:4.53350
Epoch:240/1000, Easy:0.88438, Medium:0.87026, Hard:0.72061
Epoch:241/1000, hm:1.15503, ciou:0.30488, lm:19.15813, total:4.59527
Epoch:242/1000, hm:1.13030, ciou:0.30622, lm:18.72625, total:4.53405
Epoch:243/1000, hm:1.12577, ciou:0.30884, lm:19.22866, total:4.59281
Epoch:244/1000, hm:1.14711, ciou:0.30588, lm:19.09133, total:4.58566
Epoch:245/1000, hm:1.14018, ciou:0.30548, lm:19.08064, total:4.57566
Epoch:246/1000, hm:1.11896, ciou:0.30661, lm:18.91241, total:4.54326
Epoch:247/1000, hm:1.14189, ciou:0.30658, lm:18.95395, total:4.57020
Epoch:248/1000, hm:1.12489, ciou:0.30657, lm:19.12715, total:4.57047
Epoch:249/1000, hm:1.10431, ciou:0.30401, lm:19.03407, total:4.52774
Epoch:250/1000, hm:1.14627, ciou:0.30552, lm:18.81383, total:4.55525
Epoch:250/1000, Easy:0.90106, Medium:0.88308, Hard:0.72464
Epoch:251/1000, hm:1.12973, ciou:0.30507, lm:18.95305, total:4.55040
Epoch:252/1000, hm:1.08211, ciou:0.29724, lm:18.03974, total:4.37227
Epoch:253/1000, hm:1.03253, ciou:0.29645, lm:17.88267, total:4.30306
Epoch:254/1000, hm:1.04272, ciou:0.29478, lm:17.80313, total:4.29695
Epoch:255/1000, hm:1.03444, ciou:0.29394, lm:17.66082, total:4.27024
Epoch:256/1000, hm:1.02261, ciou:0.29351, lm:17.53986, total:4.24414
Epoch:257/1000, hm:1.01099, ciou:0.29073, lm:17.52461, total:4.21713
Epoch:258/1000, hm:1.00645, ciou:0.29430, lm:17.58446, total:4.23637
Epoch:259/1000, hm:1.01590, ciou:0.29192, lm:17.47950, total:4.22347
Epoch:260/1000, hm:1.00345, ciou:0.29268, lm:17.56320, total:4.22316
Epoch:260/1000, Easy:0.90993, Medium:0.89392, Hard:0.73975
Epoch:261/1000, hm:1.03423, ciou:0.29142, lm:17.43324, total:4.23468
Epoch:262/1000, hm:1.01452, ciou:0.29057, lm:17.54544, total:4.22194
